Name,ID,Utilization
Peterson Park,2,0.87
McFetridge Sports Center,3,0.91
Revere Park,4,0.45
Eugene Field Park,5,0.42
Horner Park,6,0.44
River Park,7,0.76
Kilbourn Park,8,1
Avondale Park,9,0.38
Mayfair Park,10,0.94
Sauganash Park,11,0.26
Independence Park,12,0.84
West Lawn Park,13,0.54
Portage Park,14,0.65
Gompers Park,15,0.6
Daley Bicentennial Plaza,16,0.49
Brands Park,17,0.25
Hollywood Park,18,0.45
Jensen Park,19,0.11
Athletic Field Park,20,0.71
Administration Building,21,0.04
Avondale Park Gymnastics Center,23,0.16
Peterson Park Gymnastics Center,24,0.6
Abbott Park,26,0.03
Ada Park,27,0.08
Adams Playground Park,28,0.84
Adams Park,29,0.7
Altgeld Park,35,0.24
Amundsen Park,36,0.94
Anderson Playground Park,37,0.33
Archer Park,40,0.99
Armour Square Park,41,0.03
Augusta Park,50,0.61
Austin Town Hall,53,0.56
Avalon Park,54,0.48
Bartelme Mary Park,60,0.6
Bell Park,65,0.79
Berger Park Cultural Center,66,0.2
Bessemer Park,67,0.88
Beverly Park,68,0.34
Blackhawk Park,72,0.05
Bogan Park,75,0.15
Bosley Playground Park,78,0.65
Bradley Park,80,0.9
Brainerd Park,81,0.16
Broadway Armory Park,83,0.58
Brooks Park,87,0.16
Burnham Park,93,0.81
California Park,97,0.23
Calumet Park,98,0.91
Carver Park,102,0.58
Cedar Playlot Park,104,0.44
McKinley Park,107,0.74
Chase Park,111,0.51
Chicago Womens Park and Gardens,113,0.93
Chippewa Park,114,0.86
Chopin Park,115,0.6
Churchill Field Playlot Park,117,0.02
Clarendon Park Community Center,119,0.25
Clark (John) Park,120,0.68
Nat King Cole Park,126,0.48
Columbus Park,130,0.73
Commercial Club Playground,131,0.03
Cooper Park,133,0.09
Cornell Square Park,135,0.71
Cragin Park,139,0.75
Crescent Park,141,0.36
Curie Park,142,0.72
Davis Park,144,0.79
Davis Square Park,145,0.56
Dawes Park,146,0.17
Donovan Playground Park,157,0.68
Dooley Playground Park,158,0.63
Douglas Park Cultural & Community Center,160,0.28
Dunham Park,164,0.76
Durkin Park,165,0.23
Dvorak Park,168,0.75
Eckhart Park,170,0.63
Edgebrook Park,171,0.58
Edison Park,172,0.28
Ellis (Samuel) Park,174,0.89
Emmerson Park,178,0.37
Euclid Park,181,0.95
Fernwood Park,186,0.08
Fosco Park,192,0.75
Foster Park,193,0.11
Franklin Park,194,0.08
Fuller Park,195,0.24
Gage Park,196,0.79
Galewood Park,197,0.32
Garfield Park,198,0.73
Gately Park,200,0.09
Gill Park,201,0.9
Gladstone Park,203,0.63
Grand Crossing Park,209,0.79
Grant Park,212,0.66
Graver Park,214,0.42
Green Briar Park,215,0.61
Greenbaum Playlot Park,217,0.68
Gross Park,218,0.49
Haas Park,219,0.7
Hale Park,220,0.14
Hamilton Park,221,0.72
Hamlin Park,222,0.73
Harris (Harriet) Park,226,0.67
Harrison Park,228,0.3
Hayes Park,232,0.35
Hermitage Park,235,0.45
Hermosa Park,236,0.29
Hiawatha Park,237,0.74
Holstein Park,242,0.02
Hoyne Playground Park,249,0.07
Humboldt Park,253,0.99
