parkid,year,season,groupid,groupname,region,areaid,communityid,communityname,maxspots,enrolled
2,2012,Summer,2,Camps,N,N3,,,162,194
2,2012,Summer,7,Special Interests,N,N3,,,20,16
2,2012,Summer,9,Sports,N,N3,,,150,186
2,2012,Spring,3,Culture and Arts,N,N3,,,27,25
2,2012,Spring,4,Early Childhood,N,N3,,,116,130
2,2012,Spring,7,Special Interests,N,N3,,,92,82
2,2012,Spring,9,Sports,N,N3,,,75,56
2,2012,Spring,10,Wellness,N,N3,,,35,22
2,2012,Fall,2,Camps,N,N3,,,200,55
2,2012,Fall,3,Culture and Arts,N,N3,,,24,19
2,2012,Fall,4,Early Childhood,N,N3,,,94,76
2,2012,Fall,7,Special Interests,N,N3,,,62,70
2,2012,Fall,9,Sports,N,N3,,,22,14
2,2012,Fall,10,Wellness,N,N3,,,52,84
3,2012,Winter,9,Sports,N,N4,,,10,2
3,2012,Summer,9,Sports,N,N4,,,774,925
3,2012,Spring,7,Special Interests,N,N4,,,200,2
3,2012,Spring,9,Sports,N,N4,,,934,1253
3,2012,Spring,11,General Event,N,N4,,,100,1
3,2012,Fall,2,Camps,N,N4,,,200,
3,2012,Fall,8,Special Recreation,N,N4,,,70,47
3,2012,Fall,9,Sports,N,N4,,,4600,3015
4,2012,Winter,4,Early Childhood,N,N4,,,12,3
4,2012,Winter,6,Out of School Time,N,N4,,,6,1
4,2012,Winter,7,Special Interests,N,N4,,,30,2
4,2012,Summer,2,Camps,N,N4,,,160,234
4,2012,Summer,3,Culture and Arts,N,N4,,,42,83
4,2012,Summer,9,Sports,N,N4,,,40,73
4,2012,Spring,3,Culture and Arts,N,N4,,,55,52
4,2012,Spring,4,Early Childhood,N,N4,,,42,51
4,2012,Spring,6,Out of School Time,N,N4,,,45,26
4,2012,Spring,7,Special Interests,N,N4,,,30,12
4,2012,Spring,9,Sports,N,N4,,,47,36
4,2012,Spring,10,Wellness,N,N4,,,25,13
4,2012,Fall,2,Camps,N,N4,,,200,
4,2012,Fall,3,Culture and Arts,N,N4,,,95,95
