ParkID,Park Name,Latitude,Longitude
2,Peterson Park,41.985784,-87.72849
3,McFetridge Sports Center,41.951062,-87.698195
4,Revere Park,41.953982,-87.691213
5,Eugene Field Park,41.972963,-87.722017
6,Horner Park,41.961262,-87.697706
7,River Park,41.974012,-87.701278
8,Kilbourn Park,41.944433,-87.739631
9,Avondale Park,41.941074,-87.714467
10,Mayfair Park,41.962613,-87.741965
11,Sauganash Park,41.987408,-87.738289
12,Independence Park,41.95259,-87.725049
13,West Lawn Park,41.774914,-87.728264
14,Portage Park,41.955086,-87.762127
15,Gompers Park,41.975474,-87.734865
16,Daley Bicentennial Plaza,41.884323,-87.619526
17,Brands Park,41.940439,-87.699812
18,Hollywood Park,41.988478,-87.712259
19,Jensen Park,41.964867,-87.720601
20,Athletic Field Park,41.946532,-87.716726
21,Administration Building,41.88415,-87.632409
22,Department of Revenue,41.88415,-87.632409
23,Avondale Park Gymnastics Center,41.941074,-87.714467
24,Peterson Park Gymnastics Center,41.985784,-87.72849
26,Abbott Park,41.721752,-87.622278
27,Ada Park,41.687057,-87.65559
28,Adams Playground Park,41.916659,-87.655312
29,Adams Park,41.757504,-87.599269
30,Jane Addams Memorial Park,41.891956,-87.612605
31,Addams Park,41.863379,-87.659264
32,Aiello Playlot Park,41.918842,-87.776758
33,Algonquin Playlot Park,41.934693,-87.695238
34,Almond Park,41.684269,-87.67814
35,Altgeld Park,41.874742,-87.693714
36,Amundsen Park,41.912848,-87.780689
37,Anderson Playground Park,41.826938,-87.620442
38,Andersonville Playlot Park,41.977211,-87.669636
39,Arcade Park,41.691732,-87.608394
40,Archer Park,41.803964,-87.73569
41,Armour Square Park,41.8344,-87.635204
42,Armstrong Park,41.813868,-87.611519
43,Arrigo Park,41.871593,-87.661686
44,Ashe Beach Park,41.762369,-87.558778
45,Ashmore Playlot Park,41.968916,-87.748151
46,Aspen Playlot Park,41.817601,-87.624643
47,Aster Playlot Park,41.966316,-87.656148
48,Auburn Park,41.75383,-87.634669
50,Augusta Park,41.898837,-87.736932
51,Austin Foster Playlot Park,41.975679,-87.778872
52,Austin Park,41.887969,-87.773374
53,Austin Town Hall,41.887744,-87.765519
54,Avalon Park,41.744081,-87.594783
55,Back of the Yards Park,41.804382,-87.65757
56,Baraga Playlot Park,41.847439,-87.680612
57,Barberry Playlot Park,41.870133,-87.696718
58,Barnard Playlot Park,41.704285,-87.6708
59,Barrett Park,41.852182,-87.676544
60,Bartelme Mary Park,41.880143,-87.650798
61,Battle of Fort Dearborn,41.857632,-87.619483
