new_ID,Subgroup
256,92
1830,24
78,37
238,57
88,45
2291,50
669,81
1723,43
99,44
1962,42
57,77
1057,69
1860,70
1846,61
2133,28
2993,23
2088,82
238,61
2330,41
1058,58
2701,61
108,61
684,74
266,13
1263,9
2605,14
1989,36
1683,65
1581,59
1165,22
592,53
2785,20
86,31
1634,24
2919,9
2881,69
1006,37
1699,10
755,27
2985,34
2317,38
1970,2
1531,31
926,82
451,6
2316,24
992,66
1414,31
2229,75
63,52
2013,2
2718,54
2175,48
2079,18
2052,33
1629,59
2716,83
1985,23
244,23
1559,75
1552,32
1858,96
2366,4
782,74
2358,96
1135,58
493,77
2141,30
1081,43
2392,74
802,90
1596,15
1745,18
2875,11
2438,51
1272,42
2811,25
2864,72
706,32
526,87
295,52
1777,19
1519,54
177,53
1687,38
2661,74
616,89
2207,41
2499,18
2930,96
1996,49
351,12
2024,73
1314,79
935,86
2946,58
400,81
2919,88
1190,92
65,25
1778,8
2393,9
2902,72
2734,95
358,61
2238,89
1230,22
343,92
2708,78
1338,86
1361,73
655,23
212,86
1447,34
1778,62
629,11
448,81
2886,75
2784,62
709,13
2420,30
471,90
2018,7
2397,10
1536,92
2047,6
2619,41
498,4
874,90
1561,71
2535,66
1829,7
685,63
264,55
832,67
2496,33
271,9
2220,76
504,12
2368,50
244,6
1398,86
1598,71
1712,34
1466,39
755,85
721,17
2107,38
2420,48
311,81
616,71
71,55
762,10
2313,95
55,65
1213,63
251,76
333,81
485,20
1964,60
1497,14
243,4
1466,73
1898,94
638,68
2165,4
2162,64
983,54
912,20
1749,37
1128,92
2344,87
668,78
920,12
316,51
1397,8
1335,5
1327,52
152,15
2740,58
32,75
2366,72
415,38
1681,29
2527,75
917,87
1532,57
1360,73
192,17
830,81
1585,32
20,83
1933,61
1159,11
1572,56
2622,63
2600,61
1078,65
165,39
2981,81
156,14
1924,28
2146,86
2984,52
253,59
2515,42
1812,55
2671,66
666,27
165,40
1391,7
761,17
1286,75
2010,37
57,17
2189,59
1028,78
1959,95
1175,95
2542,82
1547,15
2146,49
914,11
879,12
2815,2
322,48
669,47
1381,94
385,26
2853,64
2488,42
775,92
332,76
1081,23
2197,44
440,34
1583,93
6,80
2895,95
2578,95
405,8
840,24
2942,57
1044,34
797,13
918,59
106,77
2595,13
983,67
313,6
1894,81
2866,78
358,5
2489,17
1690,11
1607,13
386,58
2160,45
1496,36
174,95
877,20
532,73
1137,75
1944,64
2476,5
2027,40
848,81
253,28
2770,41
2003,56
2328,14
1329,74
2756,37
2849,29
1266,70
2682,35
1211,29
1910,56
348,1
2549,22
2819,43
2535,95
1874,72
2484,5
297,72
1699,49
1838,27
2203,93
1443,14
1553,35
2518,60
2311,29
2057,90
2699,81
548,7
2487,40
1559,65
1583,63
2056,9
1712,33
1870,62
976,34
806,92
1665,66
264,10
1300,25
982,41
2343,8
2571,36
2336,6
1170,62
1162,24
1821,58
1235,72
1305,87
2006,86
1780,70
374,95
207,11
1417,42
2999,9
1502,88
984,65
587,28
1878,72
2994,90
1079,41
934,90
49,89
932,64
2180,80
2785,5
440,60
2032,58
729,65
2457,92
1641,18
1675,16
1905,20
1557,42
1261,62
1683,18
151,90
2493,8
1807,48
1358,81
690,32
1356,29
1451,12
2857,56
110,7
2564,40
2743,73
251,14
1553,75
1764,2
2996,50
2099,18
2695,24
2287,6
2893,55
204,92
594,78
2143,26
170,95
2995,19
2007,15
2490,38
2317,47
2801,25
218,3
1879,27
1989,61
2787,11
1542,85
1713,69
2624,58
2434,30
77,51
2151,83
307,5
1635,80
2592,59
2957,25
178,72
11,94
1487,88
1502,26
365,56
1765,4
1562,14
984,83
600,91
1996,16
2174,11
1533,58
250,51
276,7
2962,86
1054,61
2007,14
446,69
338,82
2552,91
2550,60
577,90
2664,60
2912,21
1008,60
1245,59
1394,60
2099,82
991,81
2101,96
840,25
2625,19
282,88
438,6
2521,74
1930,77
1433,2
2334,40
1532,77
609,11
1798,7
1069,71
1101,25
2214,75
1372,36
2518,61
718,30
2065,66
173,58
698,86
938,31
1373,24
2341,85
2363,63
1143,32
154,71
256,93
635,14
81,86
545,41
618,74
1130,27
1423,15
27,65
641,21
340,40
1119,65
1424,55
2803,39
1906,49
2653,67
2108,74
32,21
2184,66
753,56
204,26
2735,77
33,66
993,72
1021,41
1867,88
1170,63
2795,56
1246,34
2363,26
6,32
694,77
463,94
845,43
1037,24
1613,39
1523,51
2334,96
2088,49
2038,37
216,87
318,3
730,64
1273,89
2651,37
